Fecha,Símbolo,Apertura,Máximo,Mínimo,Cierre,Volumen
2024-10-01,AAPL,201.34,207.53,198.13,205.63,2648405
2024-10-01,MSFT,221.46,228.26,202.6,209.62,1804205
2024-10-01,GOOGL,370.37,377.33,355.18,373.03,2226409
2024-10-01,AMZN,71.74,82.69,63.39,78.95,4330201
2024-10-01,NVDA,306.99,316.46,293.15,306.86,4346356
2024-10-01,META,162.13,178.36,146.92,163.77,2629728
2024-10-01,TSLA,224.49,244.16,217.49,229.03,4436188
2024-10-01,AVGO,74.89,94.06,63.47,71.03,667456
2024-10-01,COST,339.81,348.59,333.29,335.85,1180061
2024-10-01,NFLX,312.36,320.04,306.04,316.55,1087247
2024-10-01,ASML,173.96,188.66,161.96,188.23,1530353
2024-10-01,TMUS,314.74,316.87,305.19,312.78,1651181
2024-10-01,CSCO,63.78,68.4,57.51,65.82,2461660
2024-10-01,PEP,143.58,160.08,126.3,134.35,4638187
2024-10-01,AZN,193.45,209.5,190.81,209.42,2303118
2024-10-01,LIN,133.56,143.83,120.4,121.03,4307886
2024-10-01,AMD,147.46,158.46,136.11,136.55,516836
2024-10-01,ADBE,435.36,436.85,421.69,427.77,3130952
2024-10-01,ISRG,413.97,428.24,404.74,410.27,1204520
2024-10-01,INTU,386.11,403.59,371.73,377.74,4582314
2024-10-01,QCOM,439.9,446.73,425.87,430.77,2491880
2024-10-01,TXN,306.28,312.93,302.19,309.72,573597
2024-10-01,BKNG,438.38,440.84,419.37,426.07,4998882
2024-10-01,ARM,62.02,73.09,60.98,65.22,4404255
2024-10-01,CMCSA,365.86,379.96,361.34,366.01,4615952
2024-10-01,HON,312.47,323.76,310.87,321.55,742606
2024-10-01,AMGN,440.72,445.93,435.11,443.96,4730165
2024-10-01,PDD,288.59,295.65,283.74,285.42,3883936
2024-10-01,AMAT,325.37,329.12,315.97,324.3,4574044
2024-10-01,PANW,422.34,436.84,409.71,427.93,4278194
2024-10-01,ADP,58.23,63.52,42.41,59.21,4020310
2024-10-01,VRTX,126.52,146.48,106.61,122.72,2177469
2024-10-01,GILD,487.92,496.88,482.55,486.87,2373435
2024-10-01,MU,392.2,406.39,390.22,393.29,4768816
2024-10-02,AAPL,154.04,164.17,137.16,140.18,4304070
2024-10-02,MSFT,368.61,373.64,351.91,368.82,3252924
2024-10-02,GOOGL,63.33,65.76,50.17,59.56,4425353
2024-10-02,AMZN,438.69,441.36,435.4,438.29,1772932
2024-10-02,NVDA,128.92,147.99,110.72,138.45,2090527
2024-10-02,META,276.11,293.1,271.88,274.49,1035268
2024-10-02,TSLA,353.94,371.88,340.45,361.4,3230982
2024-10-02,AVGO,106.22,117.39,100.27,109.73,2973609
2024-10-02,COST,101.72,105.16,89.46,105.06,3117160
2024-10-02,NFLX,386.45,394.14,370.85,373.98,1956455
2024-10-02,ASML,250.62,268.79,238.49,241.36,2260308
2024-10-02,TMUS,303.2,314.47,287.96,300.56,4454145
2024-10-02,CSCO,349.29,353.05,331.58,333.71,963312
2024-10-02,PEP,204.96,211.1,201.16,202.37,3866412
2024-10-02,AZN,115.8,129.78,103.8,115.8,3389698
2024-10-02,LIN,489.18,491.38,469.53,483.2,1905183
2024-10-02,AMD,261.83,272.38,245.52,253.86,1864797
2024-10-02,ADBE,49.13,62.95,32.92,48.08,4172332
2024-10-02,ISRG,425.48,427.41,415.5,421.53,1962160
2024-10-02,INTU,126.91,132.0,107.57,127.78,1930443
2024-10-02,QCOM,299.01,316.23,284.14,290.03,2679201
2024-10-02,TXN,376.9,383.26,367.71,381.86,1303539
2024-10-02,BKNG,97.89,109.77,80.43,93.36,1221181
2024-10-02,ARM,216.21,221.61,210.52,213.82,2481047
2024-10-02,CMCSA,339.52,345.83,338.33,340.82,4389460
2024-10-02,HON,307.93,318.04,293.17,294.52,3988573
2024-10-02,AMGN,410.08,412.98,404.15,406.09,1185998
2024-10-02,PDD,173.16,186.08,161.92,173.13,1127584
2024-10-02,AMAT,388.12,405.81,376.89,387.48,4230668
2024-10-02,PANW,235.7,249.4,231.56,239.71,859047
2024-10-02,ADP,261.79,274.43,248.76,272.26,3336773
2024-10-02,VRTX,140.72,158.46,133.39,142.73,4172306
2024-10-02,GILD,253.87,257.2,248.85,256.54,1714787
2024-10-02,MU,500.49,504.24,485.02,502.03,1709511
